code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1182,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Dropout,app
1183,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Fail,app
1184,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Dropout,app
1185,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,TPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,Pass,test
1186,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Dropout,app
1187,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Fail,app
1188,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,Pass,app
1189,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Dropout,app
1190,TPassionne,TPassionne,TPassionne,TPassionne,MoyPassionne,TPassionne,PeuPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,PeuPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,PeuPassionne,TPassionne,TPassionne,TPassionne,TPassionne,Pass,app
1191,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Fail,app
