code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result
1976,2630.568,125.95700000000001,218.91099999999997,182.975,95.941,248.77099999999996,10.4,171.23199999999997,45.12299999999999,88.928,105.257,99.25,191.46999999999997,72.58699999999999,114.661,54.584999999999994,56.56,10.4,258.589,72.562,90.33500000000001,67.026,22.991999999999997,60.157000000000004,63.112,10.4,48.212,40.442,78.711,329.271,Pass
1977,690.1460000000001,116.241,84.93299999999999,170.00000000000003,33.509,10.4,10.4,55.56700000000001,38.278999999999996,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,153.773,Dropout
1978,907.121,-43.608000000000004,-37.783,74.528,86.36,151.54000000000002,10.4,158.30599999999998,93.82300000000001,15.882,35.646,2.7170000000000005,86.506,56.818,61.19399999999999,41.751,25.834,10.4,99.13499999999999,40.449,46.242000000000004,18.741999999999997,25.234,66.28699999999999,40.994,10.4,93.305,37.108999999999995,61.162,82.688,Pass
1979,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1980,259.249,71.73900000000002,64.576,60.092,28.148,57.117,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,137.867,Fail
1981,2191.308,153.383,177.716,188.95,123.07300000000001,176.725,10.4,157.38400000000001,195.109,230.18399999999997,156.868,228.05599999999998,157.401,166.128,144.099,200.66499999999996,89.72,10.4,191.55400000000003,166.376,149.135,89.79499999999999,114.186,31.665999999999997,37.641000000000005,10.4,52.246,70.069,84.029,312.295,Pass
1982,58.721000000000004,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Dropout
1983,1052.741,47.233999999999995,10.4,10.4,36.379999999999995,10.4,10.4,55.56700000000001,39.772999999999996,10.4,10.4,51.983999999999995,46.742000000000004,38.717,42.08,10.4,10.4,10.4,118.53,36.733999999999995,139.60399999999998,10.4,40.659,10.4,10.4,10.4,38.284,10.4,53.234,121.58200000000001,Pass
1984,227.365,100.30100000000002,62.818,63.492,67.89200000000001,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Dropout
1985,54.92100000000001,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Dropout
