code_etudiant;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
83;176.223;19.125;19.125;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;20.273;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
84;309.99300000000005;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
85;344.868;25.992;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.664;25.828;25.828;25.5;25.828;25.5;25.5;27.96;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
86;207.883;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
87;398.6740000000001;25.5;25.828;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.828;25.5;25.5;25.5;25.5;25.5;28.616;25.5;25.5;25.664;26.648;25.5;25.5;25.5;25.664;25.5;25.5;25.992
88;877.621;25.828;26.32;26.484;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.156;25.5;25.5;26.976;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
89;768.0;26.32;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.664;25.5;25.664;25.992;25.5;25.5;25.5;25.5;26.484;25.5;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.828;25.5
90;29.108;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
91;212.325;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;26.812;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
92;132.21300000000002;25.5;25.664;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;27.96;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664
