code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
2259,Moyen,Mediocre,Mediocre,Moyen,Mediocre,TBien,Mediocre,Moyen,Moyen,TBien,Moyen,Mediocre,Moyen,Moyen,Moyen,TBien,TBien,Mediocre,TBien,Moyen,Moyen,Moyen,TBien,Mediocre,Mediocre,Mediocre,Moyen,TBien,TBien,Moyen,Pass,app
2260,Mediocre,Moyen,Mediocre,TBien,Moyen,TBien,TBien,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,TBien,Mediocre,Mediocre,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Mediocre,Dropout,app
2261,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,TBien,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,TBien,Mediocre,Mediocre,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Mediocre,Dropout,app
2262,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
2263,Moyen,TBien,TBien,TBien,Moyen,Moyen,Mediocre,TBien,TBien,TBien,Mediocre,Moyen,Moyen,Moyen,Moyen,Moyen,Mediocre,Mediocre,TBien,TBien,TBien,TBien,Moyen,TBien,Moyen,Mediocre,TBien,TBien,TBien,TBien,Pass,app
2264,Moyen,Mediocre,Moyen,Mediocre,Moyen,Mediocre,TBien,Moyen,Moyen,Moyen,Mediocre,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,TBien,Pass,app
2265,Mediocre,Moyen,TBien,TBien,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Fail,app
2266,Moyen,TBien,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,test
2267,TBien,Moyen,Moyen,Moyen,TBien,Moyen,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,TBien,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,Moyen,TBien,Pass,app
2268,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,Moyen,Moyen,TBien,Mediocre,Moyen,Moyen,Moyen,Moyen,Moyen,Mediocre,Moyen,Mediocre,Mediocre,Moyen,Moyen,Moyen,Mediocre,TBien,Pass,app
